"time" "cusn" "quan" "pric" "totr" "tots" "dayw" "date" "type" "ethn" "size" "cash" "estb" "qual" "loct" "stor" "phon"
"106" 650 65 60 0.75 10700 10494 2 421 "w" "a" "s" "c" "f" 3 NA 0 0
"107" 707 69 60 0.75 10700 10494 2 421 "w" "a" "s" "c" "s" 3 NA 1 0
"108" 420 76 60 0.75 10700 10494 2 421 "w" "s" "m" "c" "s" 1 1 1 0
"109" 505 77 60 0.75 10700 10494 2 421 "w" "s" "m" "c" "f" 1 NA 0 0
"110" 730 95 180 0.75 10700 10494 2 421 "w" "a" "s" "c" "s" 3 2 1 0
"111" 602 96 660 0.75 10700 10494 2 421 "w" "a" "s" "c" "s" 3 NA 1 0
"112" 700 112 180 0.75 10700 10494 2 421 "w" "a" "s" "c" "s" 3 2 1 0
"113" 640 125 240 0.75 10700 10494 2 421 "w" "a" "s" "c" "sd" 3 1 NA 0
"114" 730 127 120 0.75 10700 10494 2 421 "w" "a" "s" "c" "s" 3 NA 1 0
"115" NA 135 60 0.75 10700 10494 2 421 "w" "a" NA "c" "s" NA 2 1 0
"116" NA 135 100 0.75 10700 10494 2 421 "w" "a" NA "c" "s" NA 2 1 0
"117" 703 140 60 0.75 10700 10494 2 421 "w" "s" "s" "c" "s" 3 NA 1 0
"118" 435 142 100 0.85 10700 10494 2 421 "w" "s" "l" "c" "s" 3 NA 1 0
"119" 701 146 180 0.75 10700 10494 2 421 "w" "a" "s" "c" NA 3 NA NA 0
"120" 501 157 600 0.75 10700 10494 2 421 "w" "a" "m" "c" "s" 1 2 1 0
"121" 710 164 60 0.75 10700 10494 2 421 "w" "a" "s" "c" "s" 3 1 1 0
"122" 600 165 180 0.75 10700 10494 2 421 "w" "a" "m" "c" "s" 1 1 1 0
"123" 445 198 180 0.75 10700 10494 2 421 "w" "s" "m" "c" "s" 1 2 1 1
"124" 600 205 600 0.75 10700 10494 2 421 "w" "a" "m" "c" "s" 1 1 1 0
"125" 455 212 60 0.75 10700 10494 2 421 "w" "b" "s" "c" "f" 3 NA 0 0
"126" 335 213 120 0.7 10700 10494 2 421 "w" "s" "m" "0" NA 1 NA NA 0
"127" 655 215 360 0.7 10700 10494 2 421 "w" "a" "m" "c" "f" 1 1 0 0
"128" 630 217 300 0.75 10700 10494 2 421 "w" "s" "m" "0" "s" 1 1 1 0
"129" 625 221 60 0.75 10700 10494 2 421 "w" "a" "s" "c" "s" 3 2 1 0
"130" 440 222 120 0.75 10700 10494 2 421 "w" "s" "m" "c" "s" 1 1 1 0
"131" 709 229 1140 0.75 10700 10494 2 421 "w" "b" "m" "c" "f" 1 1 0 0
"132" 446 237 60 0.75 10700 10494 2 421 "w" "s" "m" "c" "s" 3 1 1 0
"133" 550 239 120 0.75 10700 10494 2 421 "w" "a" "s" "c" "s" 3 NA 1 0
"134" 530 243 120 0.75 10700 10494 2 421 "w" "s" "s" "0" "s" 3 1 1 1
"135" 515 246 420 0.85 10700 10494 2 421 "w" "s" "m" "0" "s" 1 3 1 1
"136" 715 255 60 0.75 10700 10494 2 421 "w" "a" "s" "c" NA 3 NA NA 0
"137" 413 1 180 1 3940 4118 3 422 "w" "s" "s" "0" "s" 1 1 1 1
"138" 725 4 120 0.85 3940 4118 3 422 "w" "a" "s" "c" "sf" 1 NA NA 0
"139" 455 7 60 1 3940 4118 3 422 "w" "s" "s" "0" "s" 1 1 1 0
"140" 720 11 100 1 3940 4118 3 422 "w" "s" "l" "0" "s" 3 1 1 0
"141" 625 29 120 0.85 3940 4118 3 422 "w" "a" "s" "c" "s" 1 2 1 0
"142" 631 30 240 0.85 3940 4118 3 422 "w" "a" "s" "c" "s" 1 NA 1 0
"143" 635 36 120 0.85 3940 4118 3 422 "w" "a" "s" "c" "s" 1 NA 1 0
"144" 625 44 60 0.85 3940 4118 3 422 "w" "s" "s" "c" "s" 1 1 1 0
"145" 705 53 60 0.85 3940 4118 3 422 "w" "a" "s" "c" "sf" 1 1 NA 0
"146" 540 103 50 1.1 3940 4118 3 422 "w" "s" "lm" "c" "s" 1 NA 1 0
"147" 630 106 600 0.85 3940 4118 3 422 "w" "a" "s" "c" "s" 1 1 1 0
"148" 630 109 180 0.85 3940 4118 3 422 "w" "a" "s" "c" "s" 1 NA 1 0
"149" 710 123 60 0.85 3940 4118 3 422 "w" "s" "s" "0" "s" 1 1 1 0
"150" 640 144 120 0.85 3940 4118 3 422 "w" "a" "s" "c" "sf" 1 1 NA 0
"151" 735 149 100 1 3940 4118 3 422 "w" "a" "l" "c" "s" 3 1 1 0
"152" 740 149 60 0.9 3940 4118 3 422 "w" "a" "m" "c" "s" 1 1 1 0
"153" 720 158 120 0.9 3940 4118 3 422 "w" "a" "s" "c" "s" 1 NA 1 0
"154" 630 164 180 0.85 3940 4118 3 422 "w" "a" "s" "c" "s" 1 1 1 0
"155" 545 184 180 0.9 3940 4118 3 422 "w" "a" "s" "c" "s" 1 1 1 0
"156" 530 187 50 1.1 3940 4118 3 422 "w" "s" "lm" "c" "s" 1 2 1 0
"157" 420 188 300 0.8 3940 4118 3 422 "w" "s" "s" "0" NA 1 NA NA 0
"158" 700 210 60 0.85 3940 4118 3 422 "w" "s" "s" "0" "s" 1 1 1 0
"159" 700 215 300 0.85 3940 4118 3 422 "w" "a" "s" "c" "f" 1 1 0 0
"160" 645 217 300 0.85 3940 4118 3 422 "w" "s" "s" "0" "s" 1 1 1 0
"161" 600 240 100 1 3940 4118 3 422 "w" "s" "lm" "c" "s" 3 1 1 0
"162" 715 243 120 0.9 3940 4118 3 422 "w" "s" "s" "0" "s" 1 1 1 1
"163" 545 244 60 1 3940 4118 3 422 "w" "s" "s" "0" "s" 1 1 1 0
"164" 400 1 60 0.85 6570 6470 4 423 "w" "s" NA "0" "s" NA 1 1 1
"165" 620 16 120 0.85 6570 6470 4 423 "w" "b" "m" "0" "s" 3 1 1 0
"166" 420 25 100 1 6570 6470 4 423 "w" "s" "lm" "0" "s" 3 1 1 0
"167" 611 29 240 0.85 6570 6470 4 423 "w" "a" "m" "c" "s" 3 2 1 0
"168" 620 43 180 0.85 6570 6470 4 423 "w" "a" "m" "c" "s" 3 2 1 0
"169" 645 51 100 0.85 6570 6470 4 423 "w" "a" "l" "c" "s" 3 2 1 0
"170" 645 51 360 0.85 6570 6470 4 423 "w" "a" "m" "c" "s" 3 2 1 0
"171" 531 57 360 0.85 6570 6470 4 423 "w" "a" "m" "c" "s" 3 1 1 0
"172" 620 65 60 0.85 6570 6470 4 423 "w" "a" "m" "c" "s" 3 NA 1 0
"173" 611 78 480 0.85 6570 6470 4 423 "w" "a" "m" "c" "f" 3 1 0 0
"174" 615 78 120 0.85 6570 6470 4 423 "w" "a" "m" "c" "f" 3 1 0 0
"175" 615 78 200 0.85 6570 6470 4 423 "w" "a" "m" "c" "f" 1 1 0 0
"176" 445 81 480 0.85 6570 6470 4 423 "w" "a" "m" "c" "s" 3 2 1 0
"177" 545 107 180 0.85 6570 6470 4 423 "w" "s" "m" "c" "sf" 3 1 NA 0
"178" 650 115 100 0.9 6570 6470 4 423 "w" "a" "m" "c" "sf" 1 1 NA 0
"179" 650 115 120 0.85 6570 6470 4 423 "w" "a" "m" "c" "sf" 3 1 NA 0
"180" 640 129 240 0.85 6570 6470 4 423 "w" "a" "m" "c" "f" 3 1 0 0
"181" 544 139 60 0.85 6570 6470 4 423 "w" "a" "m" "c" NA 3 NA NA 0
"182" 650 143 50 0.9 6570 6470 4 423 "w" "a" NA "c" "s" NA NA 1 0
"183" 435 189 100 1 6570 6470 4 423 "w" "s" "m" "0" "s" 1 2 1 0
"184" 350 193 100 1 6570 6470 4 423 "w" "s" "lm" "0" "s" 3 1 1 0
"185" 600 215 260 0.8 6570 6470 4 423 "w" "a" "m" "c" "f" 3 1 0 0
"186" 615 217 200 0.85 6570 6470 4 423 "w" "s" "m" "0" "s" 1 1 1 0
"187" 305 226 420 0.85 6570 6470 4 423 "w" "s" "m" "0" "sd" 3 2 NA 1
"188" 325 241 960 0.78 6570 6470 4 423 "w" "s" "m" "0" NA 3 NA NA 0
"189" 601 246 600 0.88 6570 6470 4 423 "w" "s" "m" "0" "s" 3 3 1 1
"190" 600 3 240 0.6 15940 15455 5 424 "w" "a" "m" "c" "s" 2 1 1 0
"191" 804 4 240 0.5 15940 15455 5 424 "w" "a" "m" "c" "sf" 2 NA NA 0
"192" 812 4 120 0.5 15940 15455 5 424 "w" "a" "m" "c" "sf" 2 NA NA 0
"193" 437 7 60 0.85 15940 15455 5 424 "w" "s" "m" "0" "s" 1 1 1 0
"194" 738 8 60 0.5 15940 15455 5 424 "w" "a" "m" "c" "s" 2 1 1 0
"195" 455 9 200 0.7 15940 15455 5 424 "w" "a" "lm" "c" "s" 3 1 1 0
"196" 555 23 300 0.5 15940 15455 5 424 "w" "a" "m" "c" "s" 3 1 1 0
"197" 555 23 300 0.65 15940 15455 5 424 "w" "a" "lm" "c" "s" 3 1 1 0
"198" 705 35 100 0.75 15940 15455 5 424 "w" "a" "m" "c" "s" 1 NA 1 0
"199" 814 37 180 0.5 15940 15455 5 424 "w" "s" "m" "0" "s" 2 NA 1 0
"200" 735 42 120 0.75 15940 15455 5 424 "w" "s" "m" "0" "s" 3 NA 1 0
"201" 815 45 240 0.5 15940 15455 5 424 "w" "a" "m" "c" "sf" 2 NA NA 0
"202" 355 47 120 0.6 15940 15455 5 424 "w" "a" "m" "c" NA 3 NA NA 0
"203" 735 63 120 0.5 15940 15455 5 424 "w" "a" "m" "c" "f" 2 NA 0 0
"204" 600 66 60 0.6 15940 15455 5 424 "w" "s" "m" "0" "s" 2 NA 1 0
"205" 600 78 300 0.5 15940 15455 5 424 "w" "a" "m" "c" "f" 2 1 0 0
"206" 600 78 600 0.5 15940 15455 5 424 "w" "a" "m" "c" "f" 3 1 0 0
"207" 600 78 300 0.5 15940 15455 5 424 "w" "a" "m" "c" "f" 3 1 0 0
"208" 600 78 600 0.65 15940 15455 5 424 "w" "a" "lm" "c" "f" 3 1 0 0
"209" 600 78 600 0.65 15940 15455 5 424 "w" "a" "lm" "c" "f" 3 1 0 0
"210" 545 92 600 0.55 15940 15455 5 424 "w" "a" "m" "c" "sf" 3 2 NA 0
"211" 845 99 300 0.43 15940 15455 5 424 "w" "a" "m" "c" "s" 2 1 1 0
"212" 845 99 250 0.43 15940 15455 5 424 "w" "a" "m" "c" "s" 1 1 1 0
"213" 845 99 400 0.43 15940 15455 5 424 "w" "a" "lm" "c" "s" 3 1 1 0
"214" 845 99 180 0.43 15940 15455 5 424 "w" "a" "m" "c" "s" 3 1 1 0
"215" 900 99 600 0.4 15940 15455 5 424 "w" "a" "lm" "c" "s" 3 1 1 0
"216" 600 104 120 0.65 15940 15455 5 424 "w" "a" "m" "c" NA 2 NA NA 0
"217" 544 107 180 0.6 15940 15455 5 424 "w" "s" "m" "c" "sf" 3 1 NA 0
"218" 459 114 900 0.65 15940 15455 5 424 "w" "a" "lm" "c" "sf" 3 1 NA 0
"219" 600 116 120 0.6 15940 15455 5 424 "w" "a" "m" "c" "s" 3 2 1 0
"220" 755 122 100 0.5 15940 15455 5 424 "w" "a" "lm" "c" "s" 3 NA 1 0
"221" 600 131 900 0.55 15940 15455 5 424 "w" "a" "m" "c" "sf" 2 1 NA 0
"222" 458 134 400 0.85 15940 15455 5 424 "w" "a" "m" "c" "sf" 1 2 NA 0
"223" 744 140 60 0.55 15940 15455 5 424 "w" "s" "m" "c" "s" 2 NA 1 0
"224" 552 142 360 0.6 15940 15455 5 424 "w" "s" "m" "c" "s" 2 NA 1 0
"225" 745 148 180 0.5 15940 15455 5 424 "w" "a" "m" "c" "sf" 2 NA NA 0
"226" 500 160 600 0.6 15940 15455 5 424 "w" "a" "lm" "c" "s" 3 2 1 0
"227" 645 167 60 0.6 15940 15455 5 424 "w" "s" "m" "c" NA 3 NA NA 0
"228" 435 176 50 0.85 15940 15455 5 424 "w" "b" "lm" "c" "f" 3 NA 0 0
"229" 635 177 100 0.65 15940 15455 5 424 "w" "a" "lm" "c" "f" 3 NA 0 0
"230" 425 189 50 0.85 15940 15455 5 424 "w" "s" "m" "0" "s" 1 2 1 0
"231" 545 190 200 0.6 15940 15455 5 424 "w" "s" "lm" "0" "s" 3 1 1 0
"232" 900 192 600 0.45 15940 15455 5 424 "w" NA "lm" "0" "sh" 4 NA NA 0
"233" 830 194 840 0.5 15940 15455 5 424 "w" "a" "m" "c" "f" 3 1 0 0
"234" 822 196 60 0.5 15940 15455 5 424 "w" "b" "m" "c" "f" 2 1 0 0
"235" NA 199 60 0.6 15940 15455 5 424 "w" NA NA "0" NA NA NA NA 0
"236" 845 201 50 0.5 15940 15455 5 424 "w" "b" "lm" "c" NA 4 NA NA 0
"237" 512 208 110 0.65 15940 15455 5 424 "w" "s" "m" "c" NA 3 NA NA 0
"238" 545 210 60 0.6 15940 15455 5 424 "w" "s" NA "0" "s" NA 1 1 0
"239" NA 213 50 0.75 15940 15455 5 424 "w" "s" NA "0" NA NA NA NA 0
"240" 600 215 180 0.55 15940 15455 5 424 "w" "a" NA "c" "f" NA 1 0 0
"241" 700 217 480 0.55 15940 15455 5 424 "w" "s" "m" "0" "s" 2 1 1 0
"242" 800 218 60 0.5 15940 15455 5 424 "w" "b" "m" "c" "s" 2 NA 1 0
"243" 655 229 960 0.65 15940 15455 5 424 "w" "b" "m" "c" "f" 3 1 0 0
"244" 450 245 50 0.85 15940 15455 5 424 "w" "s" "m" "0" "s" 1 1 1 0
"245" 756 249 60 0.5 15940 15455 5 424 "w" "s" "m" "c" NA 2 NA NA 0
"246" NA 254 120 0.6 15940 15455 5 424 "w" "a" NA "c" "s" NA 1 1 0
"247" NA 1 120 0.65 8160 5060 1 427 "w" "s" NA "0" "s" NA 1 1 1
"248" 455 10 180 0.65 8160 5060 1 427 "w" "s" "m" "0" "s" 2 1 1 0
"249" 620 11 60 0.65 8160 5060 1 427 "w" "s" "m" "0" "s" 2 1 1 0
"250" 750 17 60 0.6 8160 5060 1 427 "w" "a" "m" "0" "s" 2 1 1 0
"251" 650 20 60 0.65 8160 5060 1 427 "w" "a" "m" "c" "s" 2 1 1 0
"252" 700 22 60 0.65 8160 5060 1 427 "w" NA "m" "c" NA 2 NA NA 0
"253" 705 25 60 0.6 8160 5060 1 427 "w" "s" "m" "0" "s" 2 1 1 0
"254" 715 42 120 0.65 8160 5060 1 427 "w" "s" "m" "0" "s" 2 NA 1 0
"255" 530 84 180 0.65 8160 5060 1 427 "w" "a" "m" "c" "s" 3 1 1 0
"256" 741 90 60 0.6 8160 5060 1 427 "w" "s" "m" "c" "s" 3 1 1 0
"257" 655 101 120 0.6 8160 5060 1 427 "w" "a" "m" "c" NA 3 NA NA 0
"258" 342 118 180 0.65 8160 5060 1 427 "w" "a" "m" "c" "f" 3 1 0 0
"259" 342 118 200 0.6 8160 5060 1 427 "w" "a" "s" "c" "f" 3 1 0 0
"260" 455 137 60 0.65 8160 5060 1 427 "w" "s" "m" "0" "s" 2 3 1 0
"261" 650 144 120 0.65 8160 5060 1 427 "w" "a" "m" "c" "sf" 3 1 NA 0
"262" 730 146 180 0.6 8160 5060 1 427 "w" "a" NA "c" NA NA NA NA 0
"263" 440 152 300 0.65 8160 5060 1 427 "w" NA "m" "c" NA 3 NA NA 0
"264" 507 176 60 0.65 8160 5060 1 427 "w" "b" "m" "c" "f" 3 1 0 0
"265" 700 194 600 0.5 8160 5060 1 427 "w" "a" "m" "c" "f" 3 1 0 0
"266" 740 197 60 0.6 8160 5060 1 427 "w" "b" "m" "c" "s" 3 1 1 0
"267" 610 210 60 0.65 8160 5060 1 427 "w" "s" "m" "0" "s" 2 1 1 0
"268" 700 215 300 0.6 8160 5060 1 427 "w" "a" "m" "c" "f" 3 1 0 0
"269" 620 229 1140 0.6 8160 5060 1 427 "w" "b" "m" "c" "f" 3 1 0 0
"270" 710 233 60 0.6 8160 5060 1 427 "w" "b" "m" "c" "f" 3 1 0 0
"271" 315 238 60 0.7 8160 5060 1 427 "w" "s" "m" "0" "s" 3 3 1 1
"272" 510 246 600 0.75 8160 5060 1 427 "w" "s" "m" "0" "s" 3 3 1 1
"273" 400 1 65 0.65 1676 3300 2 428 "w" "s" "m" "0" "s" 1 1 1 1
"274" NA 37 150 0.6 1676 3300 2 428 "w" "s" NA "0" "s" NA NA 1 0
"275" 545 73 50 0.65 1676 3300 2 428 "w" "s" "m" "c" "s" 1 1 1 0
"276" 630 78 480 0.5 1676 3300 2 428 "w" "a" "m" "c" "f" 3 1 0 0
"277" 630 78 480 0.5 1676 3300 2 428 "w" "a" "m" "c" "f" 1 1 0 0
"278" 430 83 300 0.6 1676 3300 2 428 "w" "b" "m" "c" "s" 1 2 1 0
"279" 431 83 50 0.6 1676 3300 2 428 "w" "b" "m" "c" "s" 3 2 1 0
"280" 815 90 60 0.5 1676 3300 2 428 "w" "s" "m" "c" "s" 3 1 1 0
"281" 630 107 100 0.65 1676 3300 2 428 "w" "s" "m" "c" "sf" 1 1 NA 0
"282" NA 180 30 1 1676 3300 2 428 "w" NA NA "0" NA NA NA NA 0
"283" 445 187 50 0.65 1676 3300 2 428 "w" "s" "m" "c" "s" 1 2 1 0
"284" 610 190 120 0.6 1676 3300 2 428 "w" "s" "m" "0" "s" 3 1 1 0
"285" 540 191 480 0.6 1676 3300 2 428 "w" "b" "m" "c" "f" 3 1 0 0
"286" 445 195 65 0.65 1676 3300 2 428 "w" "s" "m" "0" "s" 1 1 1 0
"287" 520 205 130 0.6 1676 3300 2 428 "w" "a" "m" "c" "s" 1 1 1 0
