Lap Distance,Cornering,Inclines,Camber,Grip,Wind (Avg. Speed),Temperature,Humidity,Air Density,Air Pressure,Wind (Gusts),Altitude,Roughness,Width,Rear Wing,Engine,Front Wing,Brake Balance,Differential,Suspension,Lap Time
4.4,42,3,16,82,61,16,90,16,47,99,48,68,6,310,1,419,44,1,100,84.399
5,43,72,94,2,34,12,79,0,36,3,25,82,77,500,15,500,336,36,15,95.101
4.7,74,43,14,80,1,7,59,52,52,32,15,54,98,328,75,155,478,230,207,90.322
3.1,98,17,33,51,85,39,47,10,50,52,24,84,95,490,1,454,387,436,187,58.598
3.9,90,47,23,16,34,7,97,52,73,5,3,72,68,301,1,266,338,318,186,75.186
3,33,9,18,17,54,23,15,22,13,2,78,36,58,345,131,220,44,141,81,57.875
2.9,32,67,67,6,82,11,44,69,33,19,34,95,38,330,1,104,42,1,192,55.933
4.2,3,21,10,27,49,1,4,5,77,81,44,42,75,1,1,172,135,1,239,80.839
4.6,14,32,8,88,34,26,62,77,42,71,68,49,50,183,154,218,117,1,100,88.593
4,2,16,1,67,36,20,75,81,18,94,92,77,66,207,17,34,1,104,314,76.367
4.3,16,21,74,63,8,9,5,23,40,61,58,71,42,91,1,60,160,1,242,81.186
4.9,80,5,12,40,31,9,26,23,16,26,91,80,22,295,61,422,305,139,248,95.868
3.1,27,86,4,25,93,17,32,62,68,50,88,36,91,281,143,336,258,218,1,60.3
2.9,75,68,24,26,66,28,16,13,61,91,2,59,94,458,1,269,316,358,56,55.444
4.1,67,46,48,57,26,34,77,43,98,86,71,69,95,398,193,154,499,291,66,79.68
3.3,15,48,5,70,80,30,69,22,40,14,2,53,83,373,14,285,195,148,101,63.25
3.8,23,28,48,3,61,7,1,22,55,0,1,73,46,331,1,63,61,91,169,72.818
4.4,82,54,66,71,15,24,23,63,38,2,84,65,72,329,1,324,346,451,147,83.925
3,43,80,14,11,96,24,79,100,31,90,32,33,3,500,165,252,59,188,156,57.903
3.1,37,89,25,23,58,21,38,26,44,95,20,23,25,429,114,320,1,1,193,59.732
4.5,70,22,9,35,33,20,63,7,81,42,68,55,0,311,136,238,1,1,125,85.733
5,50,11,85,42,42,24,97,53,14,71,13,4,63,420,85,210,67,1,182,95.706
4.9,43,34,18,5,85,6,97,79,44,18,20,68,26,340,1,122,50,1,221,93.844
3.4,55,23,40,73,79,18,26,95,63,91,55,9,100,10,194,195,475,378,291,66.098
4.7,73,59,29,35,52,39,42,40,87,68,43,12,17,281,13,216,84,20,1,89.463
4.8,3,9,92,31,52,39,49,81,81,23,74,66,25,70,98,113,1,100,129,92.739
5.1,35,96,17,22,37,26,53,81,11,24,17,70,74,396,59,247,289,205,25,97.057
3.9,35,6,22,39,17,0,43,52,88,49,2,90,41,75,59,1,82,70,144,74.042
4.3,64,1,78,73,91,1,27,15,40,46,30,79,38,496,1,173,270,63,200,83.005
3.2,18,25,6,50,93,7,5,62,97,50,52,21,27,1,151,135,1,74,105,61.776
3.8,22,12,72,47,85,35,59,27,16,29,65,40,63,331,107,201,83,78,359,73.394
3.8,71,13,86,45,27,36,83,34,41,98,87,75,45,397,1,387,379,207,67,73.498
3.5,98,72,54,49,99,29,45,61,85,40,74,49,71,467,89,281,371,482,225,67.623
3.7,38,64,79,76,63,2,4,2,22,7,65,29,69,335,1,344,93,185,188,71.006
3.9,14,37,72,82,96,35,72,45,14,22,48,43,53,389,93,375,1,157,248,74.601
3.2,34,29,71,31,36,34,73,34,67,49,30,55,19,284,149,67,55,105,272,61.621
3.4,65,57,31,17,44,37,10,20,30,94,52,10,9,487,12,471,1,1,40,64.524
2.9,66,68,41,62,57,35,16,38,88,49,20,12,48,370,72,68,178,101,1,56.11
4.8,57,66,11,68,50,8,12,91,29,63,46,37,59,227,97,227,289,186,1,92.137
4.7,74,24,49,37,93,28,31,70,82,7,59,22,77,371,148,123,223,229,131,90.167
3.1,13,92,1,91,70,8,74,98,7,56,54,92,45,324,360,73,153,166,67,60.246
4,46,22,56,79,41,39,43,74,57,90,89,45,44,187,43,232,157,161,157,75.698
4.3,49,72,64,88,33,37,84,26,86,41,53,76,68,404,141,322,135,359,319,83.544
3.1,30,48,16,83,92,35,82,38,44,44,42,23,80,500,50,171,44,348,140,60.407
3.8,9,25,82,77,33,23,33,92,25,56,47,32,51,141,100,28,51,17,257,71.683
4,95,63,22,24,13,13,83,26,51,49,11,88,83,436,1,373,398,371,10,75.921
2.9,89,0,6,89,10,16,36,27,13,26,34,87,19,333,1,350,238,69,396,55.829
4.1,14,7,10,50,47,34,42,15,39,82,45,91,69,367,10,116,60,16,248,77.774
3.3,80,9,77,76,92,25,11,66,12,33,90,11,17,286,1,304,206,1,227,63.074
4,66,87,34,39,32,27,2,14,86,93,93,76,69,449,109,256,253,241,65,76.2
3.9,43,86,47,30,91,30,80,88,64,49,91,17,32,500,9,232,1,238,29,74.753
4.7,28,13,2,0,50,2,94,67,62,45,81,64,68,221,1,230,132,55,200,90.089
3.8,99,15,84,49,30,35,95,85,70,71,68,2,79,168,181,340,471,399,104,73.279
3.2,11,54,30,69,53,16,1,69,61,46,4,82,23,215,1,100,78,1,103,61.161
4.8,8,38,59,88,34,20,52,78,40,53,95,62,50,61,1,97,107,76,189,91.577
3.7,26,60,36,33,6,29,43,26,78,21,80,90,75,214,1,200,210,1,9,71.147
4.3,66,57,90,30,99,36,63,41,48,5,27,2,23,500,1,415,100,29,211,82.149
4.7,80,22,94,93,37,9,1,37,25,48,33,20,96,265,1,330,388,344,118,89.597
3.3,59,97,86,90,48,11,27,94,40,31,47,32,2,459,200,190,1,73,196,63.764
4,67,39,46,1,53,10,30,70,71,44,34,96,16,175,1,24,70,1,63,76.634
3,86,81,58,85,2,34,9,8,12,41,50,36,80,428,1,312,297,274,120,57.689
4.7,1,50,38,57,33,39,59,87,82,63,81,60,21,1,137,119,1,34,158,89.698
4,76,28,25,80,96,20,42,88,61,72,94,14,60,392,35,210,227,191,164,75.825
4.9,94,33,70,36,65,8,62,42,63,16,5,49,71,398,1,217,314,116,93,93.363
3.1,98,38,7,1,93,22,12,20,52,30,66,11,12,419,27,354,16,1,1,59.368
4.6,41,42,67,85,12,14,31,62,29,44,16,1,43,278,1,129,37,21,34,88.72
3.4,65,12,68,40,29,38,23,56,79,55,20,80,74,130,1,90,193,176,315,65.091
2.9,30,49,38,69,61,2,4,92,64,36,67,98,76,140,119,123,204,51,303,55.623
4.2,71,39,79,16,74,32,47,95,62,94,52,15,51,354,156,115,227,236,130,81.451
3.9,3,46,9,44,48,22,80,62,50,86,73,80,46,154,30,102,56,1,303,74.376
3.6,41,7,44,91,67,1,98,57,12,13,98,53,15,445,1,220,1,2,158,68.144
4.9,70,43,26,79,72,37,25,82,1,78,62,53,52,500,143,361,252,201,308,94.796
4.5,41,74,96,20,82,22,41,1,10,44,82,97,73,410,41,391,228,96,74,86.639
4.2,69,42,90,17,39,2,27,71,53,74,83,39,0,188,98,160,128,120,1,81.538
4,89,35,71,70,40,26,60,8,76,97,75,47,1,467,1,441,109,1,164,75.573
3.3,67,14,23,62,42,40,6,29,25,19,23,61,9,335,1,243,83,97,233,62.486
4.7,49,6,74,6,41,21,83,35,64,76,61,57,12,389,1,81,1,1,141,89.609
3.2,35,50,37,88,89,38,40,32,57,63,27,27,50,472,219,138,63,103,168,61.54
3.2,35,5,89,42,69,11,83,58,54,27,91,4,6,234,1,130,20,91,118,60.814
3.9,49,89,85,61,89,20,76,8,47,60,79,77,20,500,1,500,225,88,266,74.607
4.3,46,56,95,15,43,25,22,53,77,45,46,65,62,312,116,7,137,189,106,83.362
3.1,15,39,62,86,16,32,99,86,54,31,75,71,42,46,211,50,198,271,209,60.51
3.4,15,11,15,86,30,27,69,12,44,23,42,67,97,358,1,201,347,1,337,65.328
3.3,97,24,44,11,63,14,56,24,84,63,13,62,30,500,1,228,269,1,1,63.015
4.8,78,8,89,20,99,4,15,41,70,29,34,20,33,408,3,231,136,83,186,91.047
4.1,35,75,56,15,67,33,65,23,22,1,7,21,93,369,1,336,183,246,1,78.317
2.9,63,68,19,33,31,27,1,6,98,35,15,87,29,426,139,26,225,2,213,56.509
3.2,93,22,8,56,99,17,60,62,38,42,89,21,10,500,38,500,261,1,178,61.898
3,12,35,96,7,46,6,90,74,98,81,80,32,53,64,1,132,167,1,1,57.6
4.4,69,97,10,57,3,0,89,95,85,11,23,56,31,250,42,1,171,217,23,84.267
4.5,59,14,29,87,38,21,62,32,60,97,74,23,45,178,1,312,138,27,258,85.961
4.6,77,99,64,29,95,3,86,83,18,14,54,30,58,401,26,386,155,202,1,88.216
3.3,7,61,70,38,24,17,23,21,97,37,83,59,64,149,116,1,197,1,79,63.605
3.6,42,35,31,74,93,19,31,41,14,27,88,60,60,405,1,319,60,143,324,69.004
4.6,90,34,11,15,92,40,95,43,15,27,42,85,81,500,64,336,500,482,1,88.804
4,62,46,97,75,99,22,8,20,31,56,54,86,5,500,28,500,206,97,172,76.508
5,59,94,22,33,49,37,26,90,5,2,62,3,61,452,69,227,72,283,81,96.435
3.3,72,26,10,74,81,25,86,46,73,14,55,87,50,500,1,177,315,169,292,63.041
4,17,58,39,21,56,27,78,100,89,9,6,76,9,1,500,1,74,118,52,76.543
3.3,65,57,66,69,91,15,74,42,74,71,79,72,77,500,33,208,412,366,54,64.074
5,22,69,12,66,93,22,28,46,34,99,98,27,31,500,11,427,191,1,173,96.057
3.7,82,61,75,76,27,9,71,84,47,85,15,49,94,425,75,281,258,311,36,71.557
4,41,58,97,18,56,36,82,13,21,64,41,3,49,500,1,296,1,1,165,76.826
3.8,77,75,32,89,5,36,10,53,40,86,30,82,29,372,131,392,286,399,146,72.265
3.6,90,15,60,36,8,18,99,16,4,61,2,25,67,453,13,423,253,194,243,68.595
3.6,29,98,82,50,78,32,49,81,7,80,8,63,83,463,132,467,352,228,140,69.579
4.5,80,57,24,34,93,20,45,6,0,24,88,81,71,494,85,353,484,55,177,87.396
3.9,1,34,0,79,1,14,83,36,49,22,19,44,73,124,1,1,80,87,122,74.927
3.2,57,45,63,80,85,38,64,7,65,5,34,5,6,317,5,285,31,62,189,61.019
3.5,95,96,31,15,25,35,48,30,72,53,69,75,86,500,74,386,500,500,1,66.534
3.8,6,73,45,95,80,3,52,79,58,33,32,2,98,224,131,33,174,173,316,73.229
3.4,2,97,40,53,72,5,24,68,83,83,33,95,90,360,76,8,180,75,305,65.184
4.3,57,20,5,48,47,23,5,38,80,33,30,61,13,61,137,1,36,1,130,82.8
4.2,26,18,34,66,58,20,47,44,62,37,71,39,20,220,1,69,141,1,133,79.643
2.9,63,25,92,96,36,32,92,27,83,100,54,4,28,193,410,230,1,248,142,56.558
3.5,20,61,88,14,71,28,51,60,28,96,14,67,95,320,13,315,276,96,61,66.862
2.9,86,19,61,78,54,11,40,26,12,32,9,21,8,500,1,387,1,1,225,55.176
4.8,45,23,55,88,86,30,39,38,43,99,71,32,6,480,146,334,3,1,324,92.115
4,69,41,4,34,67,29,26,35,64,90,65,27,91,457,1,432,318,316,1,76.839
4.6,53,88,59,34,53,6,42,78,82,46,18,34,31,132,7,235,147,19,1,88.886
3.3,37,84,19,34,76,19,74,35,95,68,77,30,99,222,1,261,377,443,25,64.094
4.2,50,3,74,77,54,5,57,63,58,77,98,26,41,275,109,151,1,17,195,81.044
4.6,99,46,11,76,90,14,53,54,48,48,23,10,52,500,1,500,400,427,142,87.613
2.9,44,57,29,7,63,16,36,87,50,41,93,63,8,242,1,129,69,1,23,54.488
3.3,15,98,70,46,79,35,21,19,30,89,59,58,7,435,1,500,1,136,1,63.422
4.1,15,67,88,34,54,18,54,21,83,49,17,46,75,353,110,239,30,124,173,78.94
3.9,73,71,28,89,58,21,22,25,20,16,85,92,85,414,78,386,358,319,267,74.509
3.2,14,95,84,66,44,25,88,55,87,87,80,20,15,265,381,277,1,62,170,61.385
3.4,72,28,81,40,61,5,96,3,23,16,80,56,100,500,118,500,300,192,346,65.73
4.6,92,6,20,58,37,35,66,35,53,13,8,56,97,260,25,319,431,315,126,87.618
3.7,23,31,25,53,59,16,57,70,53,44,47,2,94,57,137,265,168,198,253,72.081
5.1,12,18,6,66,62,5,56,3,73,23,42,33,61,282,28,172,72,1,192,95.698
4.7,48,28,46,10,93,33,76,57,96,65,33,1,81,86,1,277,6,225,22,91.786
3.8,46,6,77,68,11,16,58,27,28,67,40,30,27,359,14,325,215,20,128,73.855
4.7,44,76,97,16,2,31,30,95,91,63,72,57,24,1,1,1,87,1,121,89.444
4.5,75,21,63,4,21,4,4,94,59,95,73,23,4,200,1,253,140,1,33,86.604
4.8,56,68,16,55,16,34,21,27,85,22,61,34,84,250,1,160,233,181,193,91.116
4.4,41,97,50,44,59,21,85,57,74,9,95,25,64,466,116,131,22,393,140,85.575
4.6,49,95,40,31,90,17,85,18,94,17,39,16,84,383,1,388,92,186,111,88.627
4.6,7,96,98,50,30,18,54,53,98,98,7,51,63,218,417,177,1,213,66,89.24
3.2,86,50,92,4,51,3,96,95,18,53,19,80,84,455,1,406,467,268,160,61.26
4.3,3,2,31,53,34,37,19,27,94,19,16,21,33,1,164,1,1,100,119,82.642
4.8,60,44,83,12,51,22,46,15,32,3,48,17,81,443,88,280,131,126,198,92.253
3.6,27,48,87,36,51,20,52,99,60,66,75,21,99,1,197,1,398,449,309,70.304
4.4,19,86,54,30,76,8,87,80,98,65,49,41,31,265,141,120,139,1,77,84.149
4.5,37,50,72,91,95,26,11,33,92,27,60,13,21,366,1,138,1,167,58,86.633
3.6,65,83,13,67,39,27,86,97,12,39,51,18,84,377,141,322,120,500,1,68.939
3.3,92,45,36,65,74,31,13,17,14,28,42,59,7,397,86,500,122,1,234,63.871
3.2,57,73,74,57,64,36,92,40,22,85,34,46,56,454,17,467,338,345,24,62.05
3.3,45,11,53,89,86,37,39,3,72,37,31,72,15,500,1,130,228,116,392,64.246
4.5,18,22,22,27,97,30,65,24,10,42,66,58,34,500,1,215,80,1,141,85.053
4.5,40,59,8,10,33,14,54,65,80,61,31,15,69,231,59,110,101,144,166,85.996
5.1,0,77,68,56,41,23,43,62,44,14,31,93,77,245,222,1,1,131,126,99.052
4.1,28,9,97,0,40,7,48,90,52,23,48,57,70,179,1,1,144,45,193,78.139
3.5,41,31,70,23,88,28,43,62,63,7,75,18,79,395,10,79,297,100,40,67.701
4,73,2,20,37,83,8,56,29,81,54,66,57,52,406,108,98,174,21,57,77.281
4.6,67,12,64,49,50,16,26,25,31,28,41,19,84,268,1,298,288,46,203,86.734
2.9,94,89,5,38,50,11,47,86,71,50,36,42,93,300,1,166,416,500,32,55.534
5,27,61,40,23,23,15,8,24,85,15,17,95,80,314,1,151,223,1,235,95.681
3,7,7,33,69,39,13,95,36,68,76,28,4,15,46,207,215,1,1,184,57.428
3.4,20,60,51,99,8,4,72,41,65,46,94,0,80,158,109,263,52,306,333,65.596
2.9,26,2,24,64,85,11,62,57,34,30,21,73,30,190,1,129,56,1,175,54.797
4.8,20,50,70,25,20,15,43,55,30,53,60,14,75,296,94,193,1,160,139,92.36
4.4,16,13,45,38,50,21,67,83,94,21,32,15,7,110,108,98,1,44,194,84.174
4.1,58,28,65,44,17,36,90,22,79,7,40,74,5,359,1,85,133,140,178,78.495
4.1,54,77,42,74,57,6,94,99,43,22,65,15,39,429,252,243,179,232,214,79.259
2.9,83,56,98,96,22,9,11,65,7,79,100,68,45,460,55,302,277,225,271,55.329
3.4,83,90,30,70,3,25,86,16,61,1,68,1,5,500,1,386,114,221,1,64.825
5,60,38,13,66,77,37,61,72,87,51,3,96,21,382,288,156,101,190,125,95.843
3.4,32,62,21,16,34,30,83,66,14,98,84,98,47,439,127,239,382,23,172,65.639
4.6,87,34,79,88,2,37,92,79,87,48,76,83,92,275,167,141,500,500,389,88.822
3.3,42,93,76,77,57,12,48,35,85,81,65,44,51,361,176,189,193,319,116,63.652
4.7,29,54,35,63,13,21,25,82,44,1,8,55,4,200,184,10,85,1,18,90.729
4.9,78,39,11,59,13,21,5,75,61,21,94,41,73,6,42,217,252,327,249,95.135
4.1,54,33,9,94,84,39,32,40,42,86,26,46,29,500,320,234,264,202,168,79.118
4.5,24,35,45,5,5,21,33,57,98,81,8,56,61,1,1,141,1,1,14,86.518
3.5,28,21,40,53,93,20,19,12,31,93,61,4,92,473,103,355,37,1,252,67.348
3.9,14,12,84,94,24,29,82,72,59,54,30,18,11,1,358,1,1,1,301,74.023
3.2,91,69,70,72,64,12,43,4,35,26,65,74,61,396,1,500,239,379,196,61.705
4.3,36,73,75,12,62,27,98,14,76,22,41,59,56,500,34,318,298,141,27,82.385
3.2,48,21,5,37,28,22,80,92,33,89,36,19,1,162,95,90,1,112,218,61.415
3.7,27,33,44,3,65,20,5,35,4,6,5,8,2,452,1,300,136,1,100,70.69
3.7,45,63,99,39,57,38,98,46,6,44,77,54,97,427,135,500,354,310,106,71.088
3.4,14,21,33,16,49,27,13,21,11,14,78,1,88,154,7,214,1,1,131,64.349
5.1,33,85,72,73,1,30,35,46,32,96,93,43,31,334,1,338,113,136,281,97.511
3,40,65,11,60,1,26,75,70,96,12,62,35,46,20,181,128,86,60,1,57.486
4.9,33,62,21,98,22,4,66,33,52,10,24,27,71,307,64,216,228,131,260,93.185
4.5,2,42,31,97,35,33,49,86,6,24,88,63,100,55,1,1,237,265,338,85.9
4.5,77,87,15,70,19,10,89,51,8,83,72,81,97,396,1,500,446,397,111,85.388
3.5,83,33,66,80,68,3,95,58,82,87,28,66,93,500,108,291,463,290,183,66.428
5,78,22,92,94,33,3,78,38,4,45,13,30,87,500,144,500,265,344,354,96.577
4.9,6,75,50,91,65,27,38,80,30,68,35,48,4,376,368,151,62,1,190,93.956
4.2,39,28,6,18,85,7,33,73,24,47,77,95,73,270,1,78,215,105,189,80.964
3.8,92,56,98,8,70,38,64,45,89,67,82,31,75,295,108,398,341,395,12,73.575
4,75,60,79,42,36,4,67,43,74,2,75,81,91,394,1,246,250,371,287,77.233
3.7,98,85,29,82,72,28,40,79,97,52,27,45,86,479,177,180,277,399,1,72.018
3.7,39,73,84,92,25,26,66,36,47,34,95,96,76,413,1,175,299,208,259,70.076
3.5,21,27,24,55,21,30,75,40,83,99,26,32,69,87,264,1,89,88,206,67.276
4.1,97,42,1,64,43,23,38,81,35,12,4,20,74,500,1,290,293,359,99,78.478
4.1,84,87,26,60,65,35,88,44,91,10,63,45,85,458,140,325,240,457,110,77.881
4.3,42,2,44,16,93,18,31,21,65,58,19,57,18,229,1,139,85,1,105,81.029
3.3,78,74,59,63,100,40,77,33,35,61,11,61,8,376,299,416,251,323,28,64.11
4.4,48,30,64,78,29,1,25,79,7,31,34,78,7,169,71,187,18,1,120,84.265
4.7,63,36,22,31,87,21,63,4,19,1,32,66,26,496,111,493,66,78,20,90.323
3.2,77,78,23,6,53,14,30,45,82,34,28,40,53,366,1,161,167,1,83,60.951
4.4,54,53,85,30,38,7,36,62,0,44,15,68,34,458,1,321,143,1,263,83.998
5.1,49,2,90,32,83,2,26,59,24,45,65,12,7,335,28,331,1,1,280,98.3
3.7,91,47,33,11,28,9,32,71,54,90,8,79,12,429,1,427,56,1,20,71.149
4.1,18,43,74,17,80,28,22,47,87,86,5,50,95,293,158,1,208,173,121,79.196
3.1,60,97,21,59,93,15,71,24,53,11,60,85,10,500,86,394,54,16,138,59.13
3.1,92,84,64,10,76,38,64,56,62,28,93,69,49,422,1,391,206,171,80,59.619
3.2,36,24,84,15,35,26,16,76,21,49,68,4,61,35,134,177,1,1,110,61.245
4.7,78,11,77,6,25,39,57,7,96,74,66,89,74,188,1,139,500,1,175,90.083
4.2,22,2,32,96,77,14,19,13,3,69,60,89,31,500,1,331,68,1,334,79.11
3.9,50,35,77,5,4,4,85,38,68,25,84,46,39,191,1,242,171,110,1,74.993
3.4,84,9,17,87,93,39,9,89,69,3,14,31,9,218,7,192,33,197,229,65.43
4,41,48,32,30,7,39,36,97,93,47,64,29,5,1,321,40,25,42,59,75.832
4.3,69,28,80,93,91,34,95,14,37,38,53,85,49,386,181,498,315,286,201,82.951
4.8,84,82,39,81,100,1,72,79,69,32,19,95,80,500,63,380,412,292,105,90.702
4.4,93,96,15,76,67,35,28,35,7,3,29,44,44,454,1,500,272,500,1,83.421
4,85,83,79,15,27,20,1,83,52,86,92,64,96,225,57,211,441,447,124,76.566
3,3,31,8,86,53,24,72,64,11,95,25,48,5,316,108,73,21,134,247,57.529
